"Chave";"Código";"Nome";"Referência Principal";"Descrição Genérica";"Classe";"CRM";"Un";"Localização física";"Classificação Fiscal";"Procedência";"Modelo";"Eixo";"Mola Freio";"Cor";"Tamanho";"Rodado";"Pneu";"Outras Características";"Volume";"Bruto";"Líquido"
"71425482";"CBHM5000 GR SS RD P650(R) M17 AN";"Carreta Hidráulica 5t (5m3) RD de 1 Eixo - GRANELEIRA - C/ PNEUS 650(R) - AZUL - Molas e Freios não Incluídos";"622503M17AN";"Graneleira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBHM5000";"1E";"SS";"Azul";;"RD";"650(R) - 650(R) (Un)";;0;"910";"900"
"71517644";"CBHM3500 SS RS M17 AV";"Carreta Hidráulica 3,5t (3,5m3) RS de 1 Eixo - USO GERAL - AMARELA - Molas, Freios e Pneus não Incluídos";"614968M17AV";"Uso Geral";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBHM3500";"1E";"SS";"Amarela";;"RS";;;0;"850";"840"
"71532486";"CBHM5000 CA SC RD M17 AN";"Carreta Hidráulica 5t (5m3) RD de 1 Eixo - CAFEEIRA - C/ FREIOS - AZUL - Molas e Pneus não Incluídos";"614415M17AN";"Cafeeira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBHM5000";"1E";"SC";"Azul";;"RD";;;0;"924";"914"
"71649432";"CBHM5000 GR SC RD BE M17 VM";"Carreta Hidráulica 5t (5m3) RD de 1 Eixo - GRANELEIRA - C/ FREIO + BASE P/ ENSILADEIRA - VERMELHA - Molas e Pneus não Incluídos";"621538M17VM";"Graneleira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBHM5000";"1E";"SC";"Vermelha";;"RD";;"B. ENS.";0;"924";"914"
"71711252";"CBHM5000 GR SS RD P700(R) M17";"Carreta Hidráulica 5t (5m3) RD de 1 Eixo - GRANELEIRA - C/ PNEUS 700(R) - Molas e Freios não Incluídos";"622747M17";"Graneleira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBHM5000";"1E";"SS";"Laranja";;"RD";"700(R) - 700(R) (Un)";;0;"910";"900"
"71780799";"CBHM5000 GR SS T P650(R) M20";"Carreta Hidráulica 5t (5m3) de Eixo Tandem - GRANELEIRA - C/ PNEUS 650(R) - Molas e Freios não Incluídos";"622754M20";"Graneleira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBHM5000";"1E";"SS";"Laranja";;"TANDEM";"650(R) - 650(R) (Un)";;0;"910";"900"
"71781731";"CBHM5000 GR SS T P650(R) M20 AV";"Carreta Hidráulica 5t (5m3) de Eixo Tandem - GRANELEIRA - C/ PNEUS 650(R) - AMARELA - Molas e Freios não Incluídos";"622754M20AV";"Graneleira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBHM5000";"1E";"SS";"Amarela";;"TANDEM";"650(R) - 650(R) (Un)";;0;"910";"900"
"71781824";"CBHM5000 GR SC T P650(R) M20 AV";"Carreta Hidráulica 5t (5m3) de Eixo Tandem - GRANELEIRA - C/ FREIOS + PNEUS 650(R) - AMARELA - Molas não Incluídas";"622697M20AV";"Graneleira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBHM5000";"1E";"SC";"Amarela";;"TANDEM";"650(R) - 650(R) (Un)";;0;"910";"900"
"71783711";"CBHM5000 GR SC RD P650(R) M17";"Carreta Hidráulica 5t (5m3) RD de 1 Eixo - GRANELEIRA - C/ FREIOS + PNEUS 650(R) - Molas não Incluídas";"622756M17";"Graneleira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBHM5000";"1E";"SC";"Laranja";;"RD";"650(R) - 650(R) (Un)";;0;"924";"914"
"71784672";"CBHM5000 GR SC RD P650(R) M17 AV";"Carreta Hidráulica 5t (5m3) RD de 1 Eixo - GRANELEIRA - C/ FREIOS + PNEUS 650(R) - AMARELA - Molas não Incluídas";"622756M17AV";"Graneleira";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBHM5000";"1E";"SC";"Amarela";;"RD";"650(R) - 650(R) (Un)";;0;"924";"914"
"71799936";"CBHM6000-2E SS RS/RD P750(R) M17";"Carreta Hidráulica 6t (6m3) RS/RD de 2 Eixos - USO GERAL - C/ PNEUS 750(R) - Molas e Freios não Incluídos";"621902M17";"Uso Geral";"Carretas Basculantes hidráulicas";;"Un";;"8716.20.00";"Nacional - 0";"CBHM6000";"2E";"SS";"Laranja";;"RS/RD";"750(R) - 750(R) (Un)";;0;"1405";"1400"
